uniqueid,sitetype2,orgunituid,sitename,snu1,snu2,psnu,snu1uid,psnuuid,snu2uid,diff_snu2,gis_na,lon,lat
384,1,iuTSO2SYoLx,Gwer West Kp One Stop Shop,Benue,Gwer West,be Gwer West,vSN6HHeBPqw,bU41bAD1r84,bU41bAD1r84,0,1,8.20451183,7.652569308
385,1,Ct8Iraz4Wwz,Onmba Aondo Comprehensive Health Center,Benue,Gwer West,be Gwer West,vSN6HHeBPqw,bU41bAD1r84,bU41bAD1r84,1,0,8.20451183,7.652569308
386,1,mfPtKtcH3hA,St. Francis Primary Health Center - Agagbe,Benue,Gwer West,be Gwer West,vSN6HHeBPqw,bU41bAD1r84,bU41bAD1r84,0,1,8.20451183,7.652569308
387,1,YLapZuUgSyj,Aondana Health Clinic,Benue,Gwer West,be Gwer West,vSN6HHeBPqw,bU41bAD1r84,bU41bAD1r84,0,0,8.21489,7.58276
388,1,CtqZO3PKNim,Mbalosu Primary Health Centre,Benue,Gwer West,be Gwer West,vSN6HHeBPqw,bU41bAD1r84,bU41bAD1r84,0,0,8.2341,7.7877
389,1,SSj1HfTYnTs,Jor Maternal And Child Health Clinic,Benue,Gwer West,be Gwer West,vSN6HHeBPqw,bU41bAD1r84,bU41bAD1r84,1,0,8.20451183,7.652569308
390,1,nn4VvQS8SqP,Jimba Primary Health Center,Benue,Gwer West,be Gwer West,vSN6HHeBPqw,bU41bAD1r84,bU41bAD1r84,1,0,8.20451183,7.652569308
391,1,EmfiENvlCGq,Chris Clinic,Benue,Gwer West,be Gwer West,vSN6HHeBPqw,bU41bAD1r84,bU41bAD1r84,0,0,8.2133,7.8338
392,1,KWB8RTTIeya,Fr. Mathias Clinic,Benue,Gwer West,be Gwer West,vSN6HHeBPqw,bU41bAD1r84,bU41bAD1r84,1,0,8.20451183,7.652569308
393,1,AXPIJPRXo5s,Aba Health Centre,Benue,Gwer West,be Gwer West,vSN6HHeBPqw,bU41bAD1r84,bU41bAD1r84,1,0,8.20451183,7.652569308
394,1,eeMmUo80f1k,Tongov Primary Health Centre,Benue,Gwer West,be Gwer West,vSN6HHeBPqw,bU41bAD1r84,bU41bAD1r84,1,0,8.20451183,7.652569308
395,1,EJQh7G0WPzD,Mbaier Health Centre,Benue,Gwer West,be Gwer West,vSN6HHeBPqw,bU41bAD1r84,bU41bAD1r84,1,0,8.20451183,7.652569308
396,1,LVwYC7JU75B,Mbashija Primary Health Centre,Benue,Gwer West,be Gwer West,vSN6HHeBPqw,bU41bAD1r84,bU41bAD1r84,1,0,8.20451183,7.652569308
397,1,mHwzBUYquF5,Bem Clinic,Benue,Gwer West,be Gwer West,vSN6HHeBPqw,bU41bAD1r84,bU41bAD1r84,0,0,8.2316,7.7363
398,1,oN3LGtxIZlk,Kwashon Primary Health Centre,Benue,Gwer West,be Gwer West,vSN6HHeBPqw,bU41bAD1r84,bU41bAD1r84,1,0,8.20451183,7.652569308
399,1,ZRSpxqpZDVS,Abiam Family Support Program Clinic,Benue,Gwer West,be Gwer West,vSN6HHeBPqw,bU41bAD1r84,bU41bAD1r84,0,0,8.18551,7.79398
400,1,ugwMUWu3le4,European Economic Community Health Clinic,Benue,Gwer West,be Gwer West,vSN6HHeBPqw,bU41bAD1r84,bU41bAD1r84,0,0,8.2049,7.58274
401,1,L5uBSWixRWb,Hope Clinic Naka,Benue,Gwer West,be Gwer West,vSN6HHeBPqw,bU41bAD1r84,bU41bAD1r84,1,0,8.20451183,7.652569308
402,1,A6vVFRBdTaM,General Hospital Naka,Benue,Gwer West,be Gwer West,vSN6HHeBPqw,bU41bAD1r84,bU41bAD1r84,0,0,8.19188,7.57337
403,1,Nfc7dRyjli0,Nakar Gwer West Comprehensive Health Center,Benue,Gwer West,be Gwer West,vSN6HHeBPqw,bU41bAD1r84,bU41bAD1r84,0,0,8.21604,7.61163
404,1,Guf2jRM5SyK,Mbaakem Health Centre,Benue,Gwer West,be Gwer West,vSN6HHeBPqw,bU41bAD1r84,bU41bAD1r84,0,0,8.11305,7.5925
405,1,SBpTQMTj2D6,Ndele Primary Health Center,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,0,0,9.42061,7.23185
406,1,UWfo9Vcmg6t,Gbor Comprehensive Health Center,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,0,0,9.49439,7.37527
407,1,fqQMHzXeExZ,Nongu U Kristu Ke Sudan Hen Tiv (Nkst) Primary Health Center - Anber,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,0,1,9.572349262,7.31800285
408,1,jKMtJUeZG6T,Nongu U Kristu Ke Sudan Hen Tiv (Nkst) Primary Health Center - Ubaya,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,0,1,9.572349262,7.31800285
409,1,ShOkkjO7q4d,Amafor Primary Health Center,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,0,0,9.45591,7.31499
410,1,GCOrXvJq3Aq,World Health System Sai,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,1,0,9.572349262,7.31800285
411,1,j1d80tpRRRb,Mbatyula Local Goverment Health Centre,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,1,0,9.572349262,7.31800285
412,1,jGti2H2XezH,Tarvachan Comprehensive Health Center,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,0,0,9.38026,7.16794
413,1,iBE2tO1KDku,Numbeve Primary Health Centre,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,0,0,9.42447,7.4448
414,1,ph0DmxOzLrH,St. Mary's Primary Health Center - Tor Donga,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,0,1,9.572349262,7.31800285
415,1,IQPUFyBPKmz,Tion Kwase Primary Health Centre,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,0,0,9.61211,7.16043
416,1,W5NNtTAwz9t,Tordonga Primary Health Center,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,0,0,9.6238,7.23003
417,1,U929QXtAK0i,Nyitar Local Government Health Center,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,0,0,9.6492,7.23457
418,1,dXAyAAaM53N,Mbasar Primary Health Centre,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,0,0,9.28653,7.22788
419,1,jo7dambanj1,Abah Primary Health Center,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,0,0,9.3894,7.12261
420,1,Jpn6N6zqMLg,Igbabaka Primary Health Centre,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,1,0,9.572349262,7.31800285
421,1,bD3Z7sBYAkk,Nongu U Kristu Ke Sudan Hen Tiv (Nkst) Primary Health Center - Kasar,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,0,0,9.64858,7.36745
422,1,Bx2hbPaU0O1,Nagu Primary Health Centre,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,0,0,9.7307,7.2379
423,1,iltm59K9ug3,Gbise Primary Health Centre,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,0,1,9.572349262,7.31800285
424,1,BRqwnMjuuez,Bem Clinic,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,1,0,9.572349262,7.31800285
425,1,fj8v2Srxtyx,Convenant Clinic,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,0,0,9.70054,7.24181
426,1,hcMSfOtTmuW,Mercy Clinic,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,1,0,9.572349262,7.31800285
427,1,iLE60Uz1V74,Nongu U Kristu Ke Sudan Hen Tiv (Nkst) Comprehensive Health Center - Harga,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,0,0,9.50975,7.3998
428,1,m71YCQ1vobL,Mbaton Primary Health Center,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,0,0,9.58351,7.35457
429,1,rQOXT4Cy2Pj,Ikpaukur Local Government Health Center,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,0,0,9.52691,7.2438
430,1,RtOelMwHsKy,Katsina-Ala Kp One Stop Shop,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,0,1,9.572349262,7.31800285
431,1,SAvDO8AVdFH,Dooter Clinic,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,0,0,9.69543,7.24345
432,1,VJPhKVM98uw,Adikpo Katsina-Ala Primary Health Centre,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,0,0,9.4726,7.4329
433,1,voNNZ57SXoP,Nguher Clinic,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,1,0,9.572349262,7.31800285
434,1,VYCAuTYwbka,Manns Clinic And Maternity,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,0,0,9.70054,7.24181
435,1,x9AGFcyHbas,Nongu U Kristu Ke Sudan Hen Tiv (Nkst) Hospital - Sai,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,1,0,9.572349262,7.31800285
436,1,yRpzCa8G6SZ,Nahuta Hospital,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,1,0,9.572349262,7.31800285
437,1,ZBXG7XEJ03X,Abakor Primary Health Care,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,1,0,9.572349262,7.31800285
438,1,Xoj1RSPZgNb,Seafa Clinic And Maternity,Benue,Katsina-Ala,be Katsina-Ala,vSN6HHeBPqw,DluyXbyv63Q,DluyXbyv63Q,0,0,9.29994,7.1947
439,1,n3leeELsmMM,Kusa Erem Agbeede Health Clinic,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,0,0,8.93357,6.91666
440,1,VgWKjowLb8Z,Ada Model,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,0,0,8.59078,7.29991
441,1,VBS2KAxTWl8,Tse-Agbaragba Primary Health Center,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,0,0,8.67239,7.06773
442,1,oR3iWfmLDLd,Igbughul Primary Health Center,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,0,0,8.85551,6.94273
443,1,rkmUcjVWIEG,El Shaddai Clinic - Achocho,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,0,0,8.5175,7.2925
444,1,lS9OJNmawzr,Usaka Health Clinic Tsuwe,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,1,0,8.666084534,7.061373047
445,1,t8yzGeF3QOZ,Mimi Clinic And Maternity,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,1,0,8.666084534,7.061373047
446,1,ugvUhWcPhsa,Ikumbur Memorial Clinic,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,1,0,8.666084534,7.061373047
447,1,bkN3ItOJJok,Adeke Health Clinic,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,1,0,8.666084534,7.061373047
448,1,DbQwJh2aSqj,Nyam Ugbeh Clinic,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,1,0,8.666084534,7.061373047
449,1,ADRcchaSF89,Jirgba Primary Health Center,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,1,0,8.666084534,7.061373047
450,1,PNknx39XQ3D,Ikpeakor Comprehensive Health Center,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,0,0,8.92274,6.85264
451,1,uE7DozqVDx3,Mimidoo Clinic And Maternity - Gungul,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,0,0,8.57111,7.13389
452,1,Hb4aAEXMUMh,Mhen Health Clinic Jov-Mbavaa,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,0,0,8.79563,6.90932
453,1,ZYZAcgboJvx,Tongo  Primary Health Center,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,1,0,8.666084534,7.061373047
454,1,RaK8oHAcaJx,Dio Primary Health Center,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,0,0,8.61167,7.00803
455,1,gmZiQa8rGP8,Mkaa Health Clinic And Maternity,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,0,0,8.87672,6.91665
456,1,xf0d6Ievr0Y,Akputu  Primary Health Center,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,0,0,8.72858,6.95691
457,1,Vwphz4aVBkw,Agidi Primary Health Centre,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,0,0,8.5357,7.20122
458,1,A0oG89zfO3P,Bonta Family Support Program Clinic,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,0,0,8.47118,7.04299
459,1,ES15z3zgFpM,Tyoate Comprehensive Health Center,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,0,0,8.67459,7.17686
460,1,Foo92FCaY1b,Mbagbaa Health Center,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,1,0,8.666084534,7.061373047
461,1,fZtEYsSUToC,Luter Health Clinic,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,0,0,8.59083,7.29722
462,1,GOdwTgMcYkt,Konshisha Kp One Stop Shop,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,0,1,8.666084534,7.061373047
463,1,jUhaJSvsg2f,Uboagere Comprehensive Health Center,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,0,0,8.62152,7.07568
464,1,jUTYBRwnEHz,Gemanen Health Clinic Ageraga,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,1,0,8.666084534,7.061373047
465,1,KG41U70wckT,Nongu U Kristu Ke Sudan Hen Tiv (Nkst) Clinic - Iber,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,0,0,8.72212,6.99282
466,1,KLG4R1DqCDW,St. Joseph Maternity Clinic - Korinya,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,0,0,8.92459,6.91833
467,1,Kx8nR3Z0zoJ,Hope Hospital - Gungul,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,0,0,8.57357,7.14105
468,1,lT0dFPuROo5,Royal Clinic And Maternity Wuese,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,1,0,8.666084534,7.061373047
469,1,NnQBS3G7K8x,Mbahan Health Clinic Ankugh,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,1,0,8.666084534,7.061373047
470,1,OK3KBevBxuF,Agbeede Primary Health Center,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,0,0,8.81756,7.02873
471,1,PAEkoUsTqwP,Centre Clinic Korinya,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,1,0,8.666084534,7.061373047
472,1,pf5zlZ3n4eZ,Nongu U Kristu Ke Sudan Hen Tiv (Nkst) Primary Health Center - Mbaakpur,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,0,0,8.62441,7.14225
473,1,S0KHKAONgri,Akase Buruku Medical Centre Gungul,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,1,0,8.666084534,7.061373047
474,1,tmdPeVe2bj9,Nongu U Kristu Ke Sudan Hen Tiv (Nkst) Clinic - Ishua,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,0,0,8.82872,6.90467
475,1,YMwV767vaxO,Leke Clinic And Maternity,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,0,0,8.66759,7.10765
476,1,zOFJx0iZI6j,Korinya Primary Health Center,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,0,0,8.918,6.91241
477,1,b2iKj21StWT,Ikyaave Primary Health Center,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,0,0,8.72042,7.08668
478,1,H5sqi75vXga,Ashido Clinic And Maternity,Benue,Konshisha,be Konshisha,vSN6HHeBPqw,gpgLJrma8Tm,gpgLJrma8Tm,1,0,8.666084534,7.061373047
479,1,Wk7369Mhsof,Koti Comprehensive Health Center,Benue,Kwande,be Kwande,vSN6HHeBPqw,v7xGqiid6Pg,v7xGqiid6Pg,0,0,9.21968,6.77218
480,1,G9RIOzlKB5n,Gabriel Suswam Cottage Hospital - Tse Ugbena,Benue,Kwande,be Kwande,vSN6HHeBPqw,v7xGqiid6Pg,v7xGqiid6Pg,0,0,9.2347,6.86126
481,1,ZOw5RCxEDrh,St. Monica's Hospital - Adikpo,Benue,Kwande,be Kwande,vSN6HHeBPqw,v7xGqiid6Pg,v7xGqiid6Pg,0,0,9.2376,6.8953
482,1,liehdcJeQBZ,Mbaikyo Comprehensive Health Center,Benue,Kwande,be Kwande,vSN6HHeBPqw,v7xGqiid6Pg,v7xGqiid6Pg,0,0,9.43655,6.80397
483,1,d4xIrfed7jC,Gube Primary Health Center,Benue,Kwande,be Kwande,vSN6HHeBPqw,v7xGqiid6Pg,v7xGqiid6Pg,0,0,9.22422,6.91026
484,1,T8MofW5CkkU,36 Matyrs Clinic- Mbape,Benue,Kwande,be Kwande,vSN6HHeBPqw,v7xGqiid6Pg,v7xGqiid6Pg,0,0,9.21622,6.80795
485,1,upbnYfp8caT,Jato Aka Primary Health Center,Benue,Kwande,be Kwande,vSN6HHeBPqw,v7xGqiid6Pg,v7xGqiid6Pg,0,0,9.50795,6.89863
486,1,cTOASc9flIi,Nongu U Kristu Ke Sudan Hen Tiv (Nkst) Comprehensive Health Center - Shangbum,Benue,Kwande,be Kwande,vSN6HHeBPqw,v7xGqiid6Pg,v7xGqiid6Pg,1,0,9.47275757,6.842681358
487,1,ecDDJ8UV2tN,Holy Child Clinic And Maternity,Benue,Kwande,be Kwande,vSN6HHeBPqw,v7xGqiid6Pg,v7xGqiid6Pg,1,0,9.47275757,6.842681358
488,1,GMznf7OBnIg,Nyihemba Primary Health Center,Benue,Kwande,be Kwande,vSN6HHeBPqw,v7xGqiid6Pg,v7xGqiid6Pg,0,0,9.49318,6.82527
489,1,J9ey3MmGspc,Iyon Comprehensive Health Center,Benue,Kwande,be Kwande,vSN6HHeBPqw,v7xGqiid6Pg,v7xGqiid6Pg,1,0,9.47275757,6.842681358
490,1,kDvVOaWbp0s,Avaa Gbande Memorial Clinic And Maternity,Benue,Kwande,be Kwande,vSN6HHeBPqw,v7xGqiid6Pg,v7xGqiid6Pg,0,0,9.50795,6.89861
491,1,lgXwl4gfzgN,Manyam Primary Health Center,Benue,Kwande,be Kwande,vSN6HHeBPqw,v7xGqiid6Pg,v7xGqiid6Pg,0,0,9.42641,6.96309
492,1,lHAkzMumFD8,Ikyogen Primary Health Center,Benue,Kwande,be Kwande,vSN6HHeBPqw,v7xGqiid6Pg,v7xGqiid6Pg,0,0,9.63275,6.98228
493,1,LOykIXc8jdW,Msonter Clinic And Maternity,Benue,Kwande,be Kwande,vSN6HHeBPqw,v7xGqiid6Pg,v7xGqiid6Pg,0,0,9.36336,6.94313
494,1,Ma9SyRevcp3,Icheen Clinic And Maternity,Benue,Kwande,be Kwande,vSN6HHeBPqw,v7xGqiid6Pg,v7xGqiid6Pg,0,0,9.23104,6.87746
495,1,mvMjGraGxvu,Adikpo General Hospital,Benue,Kwande,be Kwande,vSN6HHeBPqw,v7xGqiid6Pg,v7xGqiid6Pg,0,0,9.25064,6.88237
496,1,NrQyKoUUTjl,Nongu U Kristu Ke Sudan Hen Tiv (Nkst) Hospital - Jato Aka,Benue,Kwande,be Kwande,vSN6HHeBPqw,v7xGqiid6Pg,v7xGqiid6Pg,0,0,9.4831,7.0158
497,1,OpsgJWCwMYY,Tse-Kwange Primary Health Center,Benue,Kwande,be Kwande,vSN6HHeBPqw,v7xGqiid6Pg,v7xGqiid6Pg,0,0,9.24109,6.81711
498,1,vhponVEgOwi,Nongu U Kristu Ke Sudan Hen Tiv (Nkst) Primary Health Center - Ahobee,Benue,Kwande,be Kwande,vSN6HHeBPqw,v7xGqiid6Pg,v7xGqiid6Pg,0,0,9.43007,6.69214
499,1,TYesyFL0PHW,Ada Comprehensive Health Center,Benue,Kwande,be Kwande,vSN6HHeBPqw,v7xGqiid6Pg,v7xGqiid6Pg,0,0,9.26719,6.85621
500,1,VDDocMtkbIv,Jootal Primary Health Center,Benue,Logo,be Logo,vSN6HHeBPqw,ZewNOZ5xMp9,ZewNOZ5xMp9,0,0,9.34731,7.52342
501,1,SLUh7AIPl3P,Central Hospital Anyiin,Benue,Logo,be Logo,vSN6HHeBPqw,ZewNOZ5xMp9,ZewNOZ5xMp9,1,0,9.226591221,7.666632015
502,1,QQLKjN6lqf7,Ugba Comprehensive Health Center,Benue,Logo,be Logo,vSN6HHeBPqw,ZewNOZ5xMp9,ZewNOZ5xMp9,1,0,9.226591221,7.666632015
503,1,TOL2FI5yOWq,Mchia Local Government Health Center,Benue,Logo,be Logo,vSN6HHeBPqw,ZewNOZ5xMp9,ZewNOZ5xMp9,0,0,9.35555,7.54929
504,1,Jdrxjk48FWg,Logo Kp One Stop Shop,Benue,Logo,be Logo,vSN6HHeBPqw,ZewNOZ5xMp9,ZewNOZ5xMp9,0,1,9.226591221,7.666632015
505,1,pwlvjbtM5oM,Anyiin Primary Health Center,Benue,Logo,be Logo,vSN6HHeBPqw,ZewNOZ5xMp9,ZewNOZ5xMp9,0,0,9.24561,7.81525
506,1,QisBl6A7KWv,Odidi Clinic,Benue,Logo,be Logo,vSN6HHeBPqw,ZewNOZ5xMp9,ZewNOZ5xMp9,1,0,9.226591221,7.666632015
507,1,Awp6evwdKBu,Abeda Primary Health Center,Benue,Logo,be Logo,vSN6HHeBPqw,ZewNOZ5xMp9,ZewNOZ5xMp9,0,0,9.30901,7.71671
508,1,zBwxOyfTqwm,Iorza Primary Health Center,Benue,Logo,be Logo,vSN6HHeBPqw,ZewNOZ5xMp9,ZewNOZ5xMp9,1,0,9.226591221,7.666632015
509,1,r2lBjhZUg8j,Farmter Clinic Abeda,Benue,Logo,be Logo,vSN6HHeBPqw,ZewNOZ5xMp9,ZewNOZ5xMp9,1,0,9.226591221,7.666632015
510,1,zBp4fj9LC7v,Ayilamo Primary Health Center,Benue,Logo,be Logo,vSN6HHeBPqw,ZewNOZ5xMp9,ZewNOZ5xMp9,0,0,9.12557,7.77213
511,1,GtLsyPEOY3j,Meeeme Primary Health Centre,Benue,Logo,be Logo,vSN6HHeBPqw,ZewNOZ5xMp9,ZewNOZ5xMp9,1,0,9.226591221,7.666632015
512,1,LAyyrDvKqGe,Gonduzua Primary Health Center,Benue,Logo,be Logo,vSN6HHeBPqw,ZewNOZ5xMp9,ZewNOZ5xMp9,1,0,9.226591221,7.666632015
513,1,cePHHjZCGUB,Akumator Health Centre,Benue,Logo,be Logo,vSN6HHeBPqw,ZewNOZ5xMp9,ZewNOZ5xMp9,1,0,9.226591221,7.666632015
514,1,emodKJruXyL,Gboragayo Primary Health Centre,Benue,Logo,be Logo,vSN6HHeBPqw,ZewNOZ5xMp9,ZewNOZ5xMp9,1,0,9.226591221,7.666632015
515,1,ElG4xY5VKhM,Holy Ghost Clinic Abeda,Benue,Logo,be Logo,vSN6HHeBPqw,ZewNOZ5xMp9,ZewNOZ5xMp9,1,0,9.226591221,7.666632015
516,1,mmlEZKqZ9Ag,Maranatha Clinic Ugba,Benue,Logo,be Logo,vSN6HHeBPqw,ZewNOZ5xMp9,ZewNOZ5xMp9,0,0,9.3528,7.50518
517,1,bsw3naXOOX1,Igboughol Local Government Health Clinic,Benue,Logo,be Logo,vSN6HHeBPqw,ZewNOZ5xMp9,ZewNOZ5xMp9,1,0,9.226591221,7.666632015
518,1,bTwuESPkfSO,Ugba General Hospital,Benue,Logo,be Logo,vSN6HHeBPqw,ZewNOZ5xMp9,ZewNOZ5xMp9,0,0,9.35318,7.5116
519,1,CbpO0v7XB53,Doodoo Clinic,Benue,Logo,be Logo,vSN6HHeBPqw,ZewNOZ5xMp9,ZewNOZ5xMp9,1,0,9.226591221,7.666632015
520,1,ejgzakpM81n,Uzer Local Government Health Center,Benue,Logo,be Logo,vSN6HHeBPqw,ZewNOZ5xMp9,ZewNOZ5xMp9,0,0,9.08847,7.76179
521,1,h6ZtmhafF6I,Afa Clinic,Benue,Logo,be Logo,vSN6HHeBPqw,ZewNOZ5xMp9,ZewNOZ5xMp9,1,0,9.226591221,7.666632015
522,1,H9hiuwR1BNn,Abeda Shittille Primary Health Center,Benue,Logo,be Logo,vSN6HHeBPqw,ZewNOZ5xMp9,ZewNOZ5xMp9,0,0,9.31682,7.7052
523,1,IxCvwERm4RC,Zamzam Primary Health Center,Benue,Logo,be Logo,vSN6HHeBPqw,ZewNOZ5xMp9,ZewNOZ5xMp9,0,0,9.32019,7.62548
